title,subtitle,date,txt,gif,pdf,openURL,index
Nick Charter Istanbul,Variety,1919,https://archive.org/download/in.ernet.dli.2015.115291/2015.115291.Nick-Charter-Istanbul_djvu.txt,https://archive.org/download/in.ernet.dli.2015.115291/2015.115291.Nick-Charter-Istanbul.gif,https://archive.org/download/in.ernet.dli.2015.115291/2015.115291.Nick-Charter-Istanbul.pdf,https://archive.org/details/in.ernet.dli.2015.115291,OLin.ernet.dli.2015.115291.txt
"Advances in multimedia information systems : 4th international workshop, MIS'98, Istanbul, Turkey, September 24-26, 1998 : proceedings","Jajodia, Sushil",1998,https://archive.org/download/springer_10.1007-3-540-49651-3/10.1007-3-540-49651-3_djvu.txt,https://archive.org/download/springer_10.1007-3-540-49651-3/10.1007-3-540-49651-3.gif,https://archive.org/download/springer_10.1007-3-540-49651-3/10.1007-3-540-49651-3.pdf,https://archive.org/details/springer_10.1007-3-540-49651-3,OLspringer_10.1007-3-540-49651-3.txt
The remaking of Istanbul : portrait of an Ottoman city in the nineteenth century,"Çelik, Zeynep",1993,https://archive.org/download/bub_gb_T4MUpP6zCuIC/bub_gb_T4MUpP6zCuIC_djvu.txt,https://archive.org/download/bub_gb_T4MUpP6zCuIC/bub_gb_T4MUpP6zCuIC.gif,https://archive.org/download/bub_gb_T4MUpP6zCuIC/bub_gb_T4MUpP6zCuIC.pdf,https://archive.org/details/bub_gb_T4MUpP6zCuIC,OLbub_gb_T4MUpP6zCuIC.txt
The Mosaics Of Haghia Sophia At Istanbul Third Preliminary Report Work Done In 1935 1938,Thomas Whittemore,1942,https://archive.org/download/in.ernet.dli.2015.74839/2015.74839.The-Mosaics-Of-Haghia-Sophia-At-Istanbul-Third-Preliminary-Report-Work-Done-In-1935-1938_djvu.txt,,https://archive.org/download/in.ernet.dli.2015.74839/2015.74839.The-Mosaics-Of-Haghia-Sophia-At-Istanbul-Third-Preliminary-Report-Work-Done-In-1935-1938.pdf,https://archive.org/details/in.ernet.dli.2015.74839,OLin.ernet.dli.2015.74839.txt
The capitulations : memorandum submitted on behalf of the non-official British community in Constantinople,,[1905?],https://archive.org/download/capitulationsmem00istaiala/capitulationsmem00istaiala_djvu.txt,https://archive.org/download/capitulationsmem00istaiala/capitulationsmem00istaiala.gif,https://archive.org/download/capitulationsmem00istaiala/capitulationsmem00istaiala.pdf,https://archive.org/details/capitulationsmem00istaiala,OLcapitulationsmem00istaiala.txt
"Fourteenth-century blue-and-white : a group of Chinese porcelains in the Topkapu Sarayi Müzesi, Istanbul","Pope, John Alexander, 1906-1982-",1952,https://archive.org/download/fourteenthcentu211952pope/fourteenthcentu211952pope_djvu.txt,https://archive.org/download/fourteenthcentu211952pope/fourteenthcentu211952pope.gif,https://archive.org/download/fourteenthcentu211952pope/fourteenthcentu211952pope.pdf,https://archive.org/details/fourteenthcentu211952pope,OLfourteenthcentu211952pope.txt
Constantinople,"Grosvenor, Edwin A. (Edwin Augustus), 1845-1936",1895,https://archive.org/download/constantinople01grosiala/constantinople01grosiala_djvu.txt,https://archive.org/download/constantinople01grosiala/constantinople01grosiala.gif,https://archive.org/download/constantinople01grosiala/constantinople01grosiala.pdf,https://archive.org/details/constantinople01grosiala,OLconstantinople01grosiala.txt
"Byzantine Constantinople, the walls of the city and adjoining historical sites","Van Millingen, Alexander, 1840-1915",1899,https://archive.org/download/byzantineconsta01millgoog/byzantineconsta01millgoog_djvu.txt,https://archive.org/download/byzantineconsta01millgoog/byzantineconsta01millgoog.gif,https://archive.org/download/byzantineconsta01millgoog/byzantineconsta01millgoog.pdf,https://archive.org/details/byzantineconsta01millgoog,OLbyzantineconsta01millgoog.txt
Constantinople,"Grosvenor, Edwin A. (Edwin Augustus), 1845-1936",1895,https://archive.org/download/constantinople02grosiala/constantinople02grosiala_djvu.txt,https://archive.org/download/constantinople02grosiala/constantinople02grosiala.gif,https://archive.org/download/constantinople02grosiala/constantinople02grosiala.pdf,https://archive.org/details/constantinople02grosiala,OLconstantinople02grosiala.txt
A guide to Constantinople,"Coufopoulos, Demetrius",1910,https://archive.org/download/guidetoconstanti00coufuoft/guidetoconstanti00coufuoft_djvu.txt,https://archive.org/download/guidetoconstanti00coufuoft/guidetoconstanti00coufuoft.gif,https://archive.org/download/guidetoconstanti00coufuoft/guidetoconstanti00coufuoft.pdf,https://archive.org/details/guidetoconstanti00coufuoft,OLguidetoconstanti00coufuoft.txt
